organism,filename,onecodex_id,barcode_id,subject_id,cohort_id,timepoint,date_collected,date_received,analysis_date,analysis_workflow_passed,n_reads,mean_read_length,stdev_read_length,shannon_diversity,species_richness,n_markers_detected,n_markers_total,proportion_markers_detected,mean_marker_depth,normalized_marker_depth,detection_status,n_classified_reads,proportion_classified_reads,est_relative_abundance,targeted_panel_relative_abundance
VE303-01,100_VE303_gDNA_S283_001.fastq.gz,33c69b989a76435f,,,,,,2021-11-03 10:40:52.274419-04:00,2021-11-04 13:39:16.910760-04:00,TRUE,55774944,146.2115609,15.43367018,1.280161369,4,338,338,1,109.42,1.961812817,Detected,0,0,0,0.08091567
VE303-02,100_VE303_gDNA_S283_001.fastq.gz,33c69b989a76435f,,,,,,2021-11-03 10:40:52.274419-04:00,2021-11-04 13:39:16.910760-04:00,TRUE,55774944,146.2115609,15.43367018,1.280161369,4,1459,1460,0.999,157.04,2.815601213,Detected,0,0,0,0.066928828
VE303-03,100_VE303_gDNA_S283_001.fastq.gz,33c69b989a76435f,,,,,,2021-11-03 10:40:52.274419-04:00,2021-11-04 13:39:16.910760-04:00,TRUE,55774944,146.2115609,15.43367018,1.280161369,4,778,778,1,233.92,4.193997936,Detected,6392,0.000117203,0.495750034,0.090716948
VE303-04,100_VE303_gDNA_S283_001.fastq.gz,33c69b989a76435f,,,,,,2021-11-03 10:40:52.274419-04:00,2021-11-04 13:39:16.910760-04:00,TRUE,55774944,146.2115609,15.43367018,1.280161369,4,236,236,1,124.32,2.228957863,Detected,0,0,0,0.079220259
VE303-05,100_VE303_gDNA_S283_001.fastq.gz,33c69b989a76435f,,,,,,2021-11-03 10:40:52.274419-04:00,2021-11-04 13:39:16.910760-04:00,TRUE,55774944,146.2115609,15.43367018,1.280161369,4,6722,6722,1,95.84,1.718334312,Detected,1865513,0.034205702,0.237417786,0.070192402
VE303-06,100_VE303_gDNA_S283_001.fastq.gz,33c69b989a76435f,,,,,,2021-11-03 10:40:52.274419-04:00,2021-11-04 13:39:16.910760-04:00,TRUE,55774944,146.2115609,15.43367018,1.280161369,4,1342,1342,1,150.63,2.700675056,Detected,0,0,0,0.062954112
VE303-07,100_VE303_gDNA_S283_001.fastq.gz,33c69b989a76435f,,,,,,2021-11-03 10:40:52.274419-04:00,2021-11-04 13:39:16.910760-04:00,TRUE,55774944,146.2115609,15.43367018,1.280161369,4,725,725,1,162.72,2.917439057,Detected,447273,0.008201115,0.134435949,0.086147677
VE303-08,100_VE303_gDNA_S283_001.fastq.gz,33c69b989a76435f,,,,,,2021-11-03 10:40:52.274419-04:00,2021-11-04 13:39:16.910760-04:00,TRUE,55774944,146.2115609,15.43367018,1.280161369,4,633,633,1,137.74,2.469567697,Detected,0,0,0,0.07850868
VE303-01,10_VE303_gDNA_S284_001.fastq.gz,ba91ad8fe6754147,,,,,,2021-11-03 10:45:46.575876-04:00,2021-11-04 13:39:16.928378-04:00,TRUE,50831302,145.1044695,17.6408254,6.46541124,217,337,338,0.997,9.54,0.187679631,Detected,0,0,0,0.007799974
VE303-02,10_VE303_gDNA_S284_001.fastq.gz,ba91ad8fe6754147,,,,,,2021-11-03 10:45:46.575876-04:00,2021-11-04 13:39:16.928378-04:00,TRUE,50831302,145.1044695,17.6408254,6.46541124,217,1456,1460,0.997,11.84,0.232927341,Detected,0,0,0,0.005579091
VE303-03,10_VE303_gDNA_S284_001.fastq.gz,ba91ad8fe6754147,,,,,,2021-11-03 10:45:46.575876-04:00,2021-11-04 13:39:16.928378-04:00,TRUE,50831302,145.1044695,17.6408254,6.46541124,217,778,778,1,18.43,0.362571866,Detected,595,1.49E-05,0,0.007902331
VE303-04,10_VE303_gDNA_S284_001.fastq.gz,ba91ad8fe6754147,,,,,,2021-11-03 10:45:46.575876-04:00,2021-11-04 13:39:16.928378-04:00,TRUE,50831302,145.1044695,17.6408254,6.46541124,217,236,236,1,10.38,0.204204881,Detected,0,0,0,0.007313099
